$GPGGA,161528.000,5059.0629,N,00707.4173,E,1,09,1.0,79.3,M,47.6,M,,0000*60
$GPGGA,161529.000,5059.0609,N,00707.4173,E,1,09,1.0,79.1,M,47.6,M,,0000*61
$GPGGA,161530.000,5059.0587,N,00707.4191,E,1,09,1.0,78.9,M,47.6,M,,0000*69
$GPGGA,161531.000,5059.0569,N,00707.4220,E,1,09,1.0,79.0,M,47.6,M,,0000*69
$GPGGA,161532.000,5059.0559,N,00707.4254,E,1,09,1.0,79.0,M,47.6,M,,0000*6A
$GPGGA,161533.000,5059.0554,N,00707.4290,E,1,09,1.0,79.2,M,47.6,M,,0000*6C
$GPGGA,161534.000,5059.0552,N,00707.4331,E,1,09,1.0,79.2,M,47.6,M,,0000*67
$GPGGA,161535.000,5059.0551,N,00707.4377,E,1,09,1.0,79.1,M,47.6,M,,0000*64
$GPGGA,161536.000,5059.0551,N,00707.4429,E,1,09,1.0,79.0,M,47.6,M,,0000*6A
$GPGGA,161537.000,5059.0552,N,00707.4488,E,1,09,1.0,79.0,M,47.6,M,,0000*63
$GPGGA,161538.000,5059.0552,N,00707.4549,E,1,09,1.0,79.0,M,47.6,M,,0000*60
$GPGGA,161539.000,5059.0554,N,00707.4612,E,1,09,1.0,79.3,M,47.6,M,,0000*69
$GPGGA,161540.000,5059.0555,N,00707.4676,E,1,09,1.0,79.8,M,47.6,M,,0000*6F
$GPGGA,161541.000,5059.0557,N,00707.4740,E,1,09,1.0,80.3,M,47.6,M,,0000*65
$GPGGA,161542.000,5059.0559,N,00707.4804,E,1,09,1.0,80.5,M,47.6,M,,0000*61
$GPGGA,161543.000,5059.0560,N,00707.4869,E,1,09,1.0,80.5,M,47.6,M,,0000*61
$GPGGA,161544.000,5059.0562,N,00707.4935,E,1,09,1.0,80.5,M,47.6,M,,0000*6C
$GPGGA,161545.000,5059.0563,N,00707.5000,E,1,09,1.0,80.6,M,47.6,M,,0000*61
$GPGGA,161546.000,5059.0564,N,00707.5066,E,1,09,1.0,80.6,M,47.6,M,,0000*65
$GPGGA,161547.000,5059.0564,N,00707.5135,E,1,09,1.0,80.7,M,47.6,M,,0000*62
$GPGGA,161548.000,5059.0564,N,00707.5203,E,1,09,1.0,81.1,M,47.6,M,,0000*6C
$GPGGA,161549.000,5059.0564,N,00707.5267,E,1,09,1.0,81.5,M,47.6,M,,0000*6B
$GPGGA,161550.000,5059.0564,N,00707.5326,E,1,09,1.0,81.8,M,47.6,M,,0000*6A
$GPGGA,161551.000,5059.0562,N,00707.5379,E,1,09,1.0,81.7,M,47.6,M,,0000*68
